label,source,target,slng,slat,tlng,tlat
0,1532,1531,114.13,22.548,114.122,22.548
1,1531,1171,114.122,22.548,114.122,22.572
0,1171,1702,114.122,22.572,114.05,22.536
1,1702,1762,114.05,22.536,114.05,22.532
0,1762,1640,114.05,22.532,114.034,22.54
1,1640,1517,114.034,22.54,114.01,22.548
0,1517,1577,114.01,22.548,114.01,22.544
1,1577,1927,114.01,22.544,113.93,22.52
0,1927,1927,113.93,22.52,113.93,22.52
1,1927,1925,113.93,22.52,113.914,22.52
0,1925,1806,113.914,22.52,113.922,22.528
1,1806,1410,113.922,22.528,114.114,22.556
0,1410,1530,114.114,22.556,114.114,22.548
1,1530,810,114.114,22.548,114.114,22.596
0,810,1530,114.114,22.596,114.114,22.548
1,1530,1530,114.114,22.548,114.114,22.548
0,1530,1650,114.114,22.548,114.114,22.54
1,1650,1702,114.114,22.54,114.05,22.536
0,1702,1704,114.05,22.536,114.066,22.536
1,1704,1705,114.066,22.536,114.074,22.536
0,1705,1707,114.074,22.536,114.09,22.536
1,1707,1710,114.09,22.536,114.114,22.536
0,1710,1706,114.114,22.536,114.082,22.536
1,1706,1884,114.082,22.536,114.066,22.524
0,1884,1765,114.066,22.524,114.074,22.532
1,1765,1471,114.074,22.532,114.122,22.552
0,1471,1765,114.122,22.552,114.074,22.532
1,1765,1645,114.074,22.532,114.074,22.54
0,1645,1645,114.074,22.54,114.074,22.54
1,1645,1704,114.074,22.54,114.066,22.536
0,1704,1705,114.066,22.536,114.074,22.536
1,1705,1825,114.074,22.536,114.074,22.528
0,1825,1645,114.074,22.528,114.074,22.54
1,1645,1764,114.074,22.54,114.066,22.532
0,1764,1761,114.066,22.532,114.042,22.532
1,1761,1650,114.042,22.532,114.114,22.54
0,1650,1587,114.114,22.54,114.09,22.544
1,1587,1345,114.09,22.544,114.074,22.56
0,1345,1464,114.074,22.56,114.066,22.552
1,1464,1702,114.066,22.552,114.05,22.536
0,1702,1761,114.05,22.536,114.042,22.532
1,1761,1640,114.042,22.532,114.034,22.54
0,1640,1821,114.034,22.54,114.042,22.528
1,1821,1525,114.042,22.528,114.074,22.548
0,1525,1585,114.074,22.548,114.074,22.544
1,1585,1880,114.074,22.544,114.034,22.524
0,1880,1880,114.034,22.524,114.034,22.524
1,1880,1698,114.034,22.524,114.018,22.536
0,1698,1882,114.018,22.536,114.05,22.524
1,1882,1627,114.05,22.524,113.93,22.54
0,1627,1626,113.93,22.54,113.922,22.54
1,1626,1566,113.922,22.54,113.922,22.544
0,1566,1387,113.922,22.544,113.93,22.556
1,1387,1388,113.93,22.556,113.938,22.556
0,1388,1507,113.938,22.556,113.93,22.548
1,1507,1568,113.93,22.548,113.938,22.544
0,1568,1567,113.938,22.544,113.93,22.544
1,1567,428,113.93,22.544,113.938,22.62
0,428,5,113.938,22.62,113.914,22.648
1,5,1646,113.914,22.648,114.082,22.54
0,1646,1765,114.082,22.54,114.074,22.532
1,1765,1942,114.074,22.532,114.05,22.52
0,1942,1761,114.05,22.52,114.042,22.532
1,1761,1883,114.042,22.532,114.058,22.524
0,1883,1763,114.058,22.524,114.058,22.532
1,1763,1229,114.058,22.532,114.106,22.568
0,1229,1231,114.106,22.568,114.122,22.568
1,1231,681,114.122,22.568,114.042,22.604
0,681,741,114.042,22.604,114.042,22.6
1,741,1345,114.042,22.6,114.074,22.56
0,1345,1464,114.074,22.56,114.066,22.552
1,1464,319,114.066,22.552,114.026,22.628
0,319,862,114.026,22.628,114.05,22.592
1,862,1223,114.05,22.592,114.058,22.568
0,1223,1583,114.058,22.568,114.058,22.544
1,1583,1580,114.058,22.544,114.034,22.544
0,1580,1461,114.034,22.544,114.042,22.552
1,1461,1347,114.042,22.552,114.09,22.56
0,1347,1347,114.09,22.56,114.09,22.56
1,1347,78,114.09,22.56,114.018,22.644
0,78,1284,114.018,22.644,114.066,22.564
1,1284,1745,114.066,22.564,113.914,22.532
0,1745,1805,113.914,22.532,113.914,22.528
1,1805,1871,113.914,22.528,113.962,22.524
0,1871,1816,113.962,22.524,114.002,22.528
1,1816,1758,114.002,22.528,114.018,22.532
0,1758,1701,114.018,22.532,114.042,22.536
1,1701,320,114.042,22.536,114.034,22.628
0,320,800,114.034,22.628,114.034,22.596
1,800,858,114.034,22.596,114.018,22.592
0,858,1639,114.018,22.592,114.026,22.54
1,1639,1880,114.026,22.54,114.034,22.524
0,1880,1462,114.034,22.524,114.05,22.552
1,1462,1282,114.05,22.552,114.05,22.564
0,1282,1400,114.05,22.564,114.034,22.556
1,1400,1697,114.034,22.556,114.01,22.536
0,1697,1697,114.01,22.536,114.01,22.536
1,1697,2004,114.01,22.536,114.066,22.516
0,2004,2003,114.066,22.516,114.058,22.516
1,2003,1348,114.058,22.516,114.098,22.56
0,1348,1347,114.098,22.56,114.09,22.56
1,1347,6,114.09,22.56,113.922,22.648
0,6,64,113.922,22.648,113.906,22.644
1,64,1693,113.906,22.644,113.978,22.536
0,1693,1752,113.978,22.536,113.97,22.532
1,1752,6,113.97,22.532,113.922,22.648
0,6,4,113.922,22.648,113.906,22.648
1,4,1882,113.906,22.648,114.05,22.524
0,1882,1702,114.05,22.524,114.05,22.536
1,1702,1586,114.05,22.536,114.082,22.544
0,1586,1701,114.082,22.544,114.042,22.536
1,1701,1343,114.042,22.536,114.058,22.56
0,1343,1703,114.058,22.56,114.058,22.536
1,1703,1884,114.058,22.536,114.066,22.524
0,1884,1765,114.066,22.524,114.074,22.532
1,1765,1531,114.074,22.532,114.122,22.548
0,1531,1530,114.122,22.548,114.114,22.548
1,1530,1530,114.114,22.548,114.114,22.548
0,1530,1590,114.114,22.548,114.114,22.544
1,1590,1650,114.114,22.544,114.114,22.54
0,1650,1590,114.114,22.54,114.114,22.544
1,1590,1591,114.114,22.544,114.122,22.544
0,1591,1824,114.122,22.544,114.066,22.528
1,1824,1646,114.066,22.528,114.082,22.54
0,1646,1706,114.082,22.54,114.082,22.536
1,1706,1645,114.082,22.536,114.074,22.54
0,1645,1706,114.074,22.54,114.082,22.536
1,1706,636,114.082,22.536,114.162,22.608
0,636,1409,114.162,22.608,114.106,22.556
1,1409,1349,114.106,22.556,114.106,22.56
0,1349,1530,114.106,22.56,114.114,22.548
1,1530,1590,114.114,22.548,114.114,22.544
0,1590,1583,114.114,22.544,114.058,22.544
1,1583,1520,114.058,22.544,114.034,22.548
0,1520,1401,114.034,22.548,114.042,22.556
1,1401,1223,114.042,22.556,114.058,22.568
0,1223,1645,114.058,22.568,114.074,22.54
1,1645,1170,114.074,22.54,114.114,22.572
0,1170,1648,114.114,22.572,114.098,22.54
1,1648,2062,114.098,22.54,114.05,22.512
0,2062,1944,114.05,22.512,114.066,22.52
1,1944,1824,114.066,22.52,114.066,22.528
0,1824,1764,114.066,22.528,114.066,22.532
1,1764,1823,114.066,22.532,114.058,22.528
0,1823,1823,114.058,22.528,114.058,22.528
1,1823,1824,114.058,22.528,114.066,22.528
0,1824,1344,114.066,22.528,114.066,22.56
1,1344,139,114.066,22.56,114.026,22.64
0,139,1043,114.026,22.64,114.058,22.58
1,1043,1103,114.058,22.58,114.058,22.576
0,1103,1398,114.058,22.576,114.018,22.556
1,1398,1644,114.018,22.556,114.066,22.54
0,1644,1649,114.066,22.54,114.106,22.54
1,1649,1524,114.106,22.54,114.066,22.548
0,1524,1645,114.066,22.548,114.074,22.54
1,1645,1710,114.074,22.54,114.114,22.536
